date,city,country,avg_temp_c
08/01/01,Ahmadabad,India,19.179
08/02/01,Ahmadabad,India,20.244
08/03/01,Ahmadabad,India,28.023
08/04/01,Ahmadabad,India,30.922
08/05/01,Ahmadabad,India,32.85
08/06/01,Ahmadabad,India,31.186
08/07/01,Ahmadabad,India,28.985
08/08/01,Ahmadabad,India,27.246
08/09/01,Ahmadabad,India,28.485
08/10/01,Ahmadabad,India,28.694
08/11/01,Ahmadabad,India,25.452
08/12/01,Ahmadabad,India,23.316
09/01/01,Ahmadabad,India,21.615
09/02/01,Ahmadabad,India,24.194
09/03/01,Ahmadabad,India,28.64
09/04/01,Ahmadabad,India,31.847
09/05/01,Ahmadabad,India,34.075
09/06/01,Ahmadabad,India,32.957
09/07/01,Ahmadabad,India,29.426
09/08/01,Ahmadabad,India,29.072
09/09/01,Ahmadabad,India,29.36
09/10/01,Ahmadabad,India,28.299
09/11/01,Ahmadabad,India,25.187
09/12/01,Ahmadabad,India,22.478
10/01/01,Ahmadabad,India,20.969
10/02/01,Ahmadabad,India,23.573
10/03/01,Ahmadabad,India,29.593
10/04/01,Ahmadabad,India,33.126
10/05/01,Ahmadabad,India,35.419
10/06/01,Ahmadabad,India,33.1
10/07/01,Ahmadabad,India,29.428
10/08/01,Ahmadabad,India,28.225
10/09/01,Ahmadabad,India,28.297
10/10/01,Ahmadabad,India,28.961
10/11/01,Ahmadabad,India,25.34
10/12/01,Ahmadabad,India,20.183
11/01/01,Ahmadabad,India,19.252
11/02/01,Ahmadabad,India,22.699
11/03/01,Ahmadabad,India,27.553
11/04/01,Ahmadabad,India,31.019
11/05/01,Ahmadabad,India,33.438
11/06/01,Ahmadabad,India,32.559
11/07/01,Ahmadabad,India,29.182
11/08/01,Ahmadabad,India,27.802
11/09/01,Ahmadabad,India,27.599
11/10/01,Ahmadabad,India,28.152
11/11/01,Ahmadabad,India,26.452
11/12/01,Ahmadabad,India,21.778
12/01/01,Ahmadabad,India,18.856
12/02/01,Ahmadabad,India,21.224
12/03/01,Ahmadabad,India,26.512
12/04/01,Ahmadabad,India,31.195
12/05/01,Ahmadabad,India,33.276
12/06/01,Ahmadabad,India,32.5
12/07/01,Ahmadabad,India,29.797
12/08/01,Ahmadabad,India,28.086
12/09/01,Ahmadabad,India,28.087
12/10/01,Ahmadabad,India,28.078
12/11/01,Ahmadabad,India,24.391
12/12/01,Ahmadabad,India,22.325
13/01/01,Ahmadabad,India,19.645
13/02/01,Ahmadabad,India,22.726
13/03/01,Ahmadabad,India,27.196
13/04/01,Ahmadabad,India,30.762
13/05/01,Ahmadabad,India,33.856
13/06/01,Ahmadabad,India,31.099
13/07/01,Ahmadabad,India,28.073
13/08/01,Ahmadabad,India,27.512
13/09/01,Ahmadabad,India,
00/01/01,Aleppo,Syria,5.205
00/02/01,Aleppo,Syria,6.832
00/03/01,Aleppo,Syria,10.421
00/04/01,Aleppo,Syria,17.743
00/05/01,Aleppo,Syria,22.24
00/06/01,Aleppo,Syria,27.781
00/07/01,Aleppo,Syria,31.957
00/08/01,Aleppo,Syria,29.873
00/09/01,Aleppo,Syria,25.877
00/10/01,Aleppo,Syria,18.846
00/11/01,Aleppo,Syria,13.38
00/12/01,Aleppo,Syria,7.636
01/01/01,Aleppo,Syria,7.306
01/02/01,Aleppo,Syria,8.787
01/03/01,Aleppo,Syria,14.904
01/04/01,Aleppo,Syria,17.666
01/05/01,Aleppo,Syria,21.191
01/06/01,Aleppo,Syria,27.922
01/07/01,Aleppo,Syria,30.727
01/08/01,Aleppo,Syria,30.33
01/09/01,Aleppo,Syria,26.419
01/10/01,Aleppo,Syria,20.153
01/11/01,Aleppo,Syria,11.43
01/12/01,Aleppo,Syria,8.173
02/01/01,Aleppo,Syria,4.806
02/02/01,Aleppo,Syria,9.745
02/03/01,Aleppo,Syria,12.984
02/04/01,Aleppo,Syria,15.722
02/05/01,Aleppo,Syria,21.571
02/06/01,Aleppo,Syria,27.554
02/07/01,Aleppo,Syria,30.407
